Extra options: []
Measured: 10 times

Total Average: 308.676300 msec
Total Max:     345.993000 msec
Total Min:     293.432000 msec

   AVERAGE        MAX        MIN
---------------------------------
289.988300 324.727000 275.807000: /nix/store/ll5jxyyfd0k13727qg2ygj5kiwvyphx8-pde/config/init.lua
 34.356500  37.192000  31.796000: require('editing')
 29.146100  32.082000  26.285000: require('search')
 27.778700  34.445000  23.661000: require('git')
 25.070600  28.954000  23.791000: require('ui')
 17.600500  19.071000  16.399000: require('navigation')
 16.940200  19.197000  16.052000: require('core')
 16.451500  18.155000  15.764000: require('completion')
 16.105000  19.897000  14.470000: require('lsp_etc')
 15.633700  19.026000  13.042000: require('telescope_etc')
 14.646800  17.103000  13.345000: require('testing')
 10.774100  16.651000   8.180000: require('task_runner')
  9.614300  12.275000   8.446000: require('debugging')
  8.925200  11.411000   7.720000: require('fzf-lua')
  8.505400  11.371000   5.740000: require('telescope._extensions.project')
  8.449500  14.154000   5.706000: require('octo')
  8.440600  11.307000   5.686000: require('telescope._extensions.project.main')
  8.172300   9.134000   7.713000: require('macros')
  6.757900   7.469000   6.428000: require('langs.rust')
  6.628900   7.365000   6.340000: require('explorers')
  6.591600   7.532000   5.398000: require('diff')
  6.330500   7.031000   6.094000: require('headlines')
  5.496300   6.006000   4.950000: require('mappings')
  5.352800   6.732000   4.539000: require('treesitter')
  5.300900   9.966000   3.592000: require('octo.model.octo-buffer')
  5.211200   5.808000   4.895000: require('spectre')
  4.970000   6.756000   4.637000: loading rtp plugins
  4.930400   5.303000   4.615000: require('fidget')
  4.811900   5.433000   4.210000: require('treesj')
  4.774600   5.399000   4.174000: require('treesj.settings')
  4.624500   4.989000   4.315000: require('fidget.progress')
  4.042500   5.284000   2.990000: require('fzf-lua.config')
  3.840000   4.255000   3.514000: require('crates')
  3.793500   4.388000   3.373000: require('projects')
  3.757300   5.939000   3.224000: require('nvim-navbuddy')
  3.705100   4.022000   3.415000: require('fidget.progress.lsp')
  3.682800   7.324000   1.982000: require('telescope._extensions.project.actions')
  3.429000   7.499000   2.158000: require('octo.ui.writers')
  3.262600   4.666000   2.127000: require('deck')
  3.166900   3.589000   2.848000: require('luasnip')
  3.157700   3.936000   2.859000: require('neotest-python')
  2.946300   5.311000   1.641000: require('overseer.template')
  2.933000   3.659000   2.639000: require('neotest-python.base')
  2.879300   5.000000   1.908000: require('octo.commands')
  2.772700   3.077000   2.619000: require('vim.lsp')
  2.687800   3.289000   2.487000: require('spectre.ui')
  2.568400   5.150000   1.756000: require('telescope._extensions.project.git')
  2.490400   4.411000   2.124000: require('nui.menu')
  2.457600   3.529000   2.074000: require('langs.lua_language')
  2.420800   5.210000   1.531000: require('lspsaga.codeaction.lightbulb')
  2.337500   2.804000   1.888000: require('diffview')
  2.274600   2.638000   2.035000: require('neotest.consumers')
  2.257000   3.122000   1.874000: require('telescope.config')
  2.199600   3.690000   1.798000: require('fzf-lua.path')
  2.183700   4.647000   1.641000: require('langs.haskell')
  2.150200   3.906000   1.160000: require('overseer.task')
  2.115050   6.242000   0.044000: /nix/store/ll5jxyyfd0k13727qg2ygj5kiwvyphx8-pde/pack/bundle/opt/deck/plugin/deck.lua
  1.944800   3.152000   1.759000: /home/isaac/repos/nvim-colors/odenwald.nvim/colors/odenwald.lua
  1.838900   2.299000   1.745000: require('lua.utils')
  1.810800   2.074000   1.721000: sourcing vimrc file(s)
  1.760600   4.315000   1.071000: require('lspsaga.util')
  1.709400   2.043000   1.507000: require('neotest.lib.file')
  1.666200   1.847000   1.581000: require('neogit.buffers.status')
  1.652000   2.893000   1.086000: require('deck.Context')
  1.610400   3.795000   0.964000: require('telescope._extensions.project.finders')
  1.575500   4.043000   1.195000: require('telescope.pickers')
  1.542800   1.834000   1.263000: require('treesj.langs')
  1.531600   3.649000   0.903000: require('telescope.finders')
  1.468500   1.676000   1.312000: require('luasnip.loaders.from_vscode')
  1.453000   1.559000   1.402000: require('dial.map')
  1.440800   2.144000   0.977000: require('fzf-lua.defaults')
  1.426300   1.581000   1.338000: require('crates.command')
  1.424900   2.064000   1.152000: require('vim.filetype')
  1.417000   1.649000   1.269000: require('plenary.scandir')
  1.416000   1.475000   1.369000: require('plenary.async')
  1.412900   3.099000   1.169000: require('nui.line')
  1.410300   1.517000   1.362000: require('dial.command')
  1.362800   1.949000   1.184000: reading ShaDa
  1.324200   2.666000   0.714000: require('overseer.component')
  1.293900   2.969000   1.052000: require('nui.text')
  1.257500   1.357000   1.208000: require('dial.config')
  1.241500   2.269000   0.817000: require('overseer.dap')
  1.231500   2.911000   0.995000: require('nui.utils')
  1.227800   2.473000   0.721000: require('octo.utils')
  1.208200   1.293000   1.163000: require('dial.augend')
  1.207200   1.457000   1.002000: require('insx')
  1.205000   1.902000   0.705000: require('fzf-lua.actions')
  1.197000   1.256000   1.145000: require('luasnip.nodes.snippet')
  1.195700   1.449000   1.036000: require('diffview.bootstrap')
  1.186800   1.338000   1.125000: require('terminal')
  1.163100   1.268000   1.065000: require('telescope.actions')
  1.139300   1.235000   1.101000: require('nio')
  1.124300   1.260000   1.082000: require('blink.cmp.sources.lib')
  1.113100   2.248000   0.859000: require('octo.context')
  1.111000   3.377000   0.607000: require('haskell-tools.lsp')
  1.107700   1.329000   0.810000: require('crates.config')
  1.106100   1.223000   1.047000: require('crates.actions')
  1.094800   1.308000   0.816000: require('auto-session')
  1.081500   1.210000   1.035000: require('nvim-web-devicons')
  1.073500   2.200000   0.821000: require('octo.reviews')
  1.071600   2.178000   0.573000: require('overseer.form.utils')
  1.064400   1.399000   0.830000: require('sqlite.db')
  1.062650   2.674000   0.098000: /nix/store/ll5jxyyfd0k13727qg2ygj5kiwvyphx8-pde/pack/bundle/opt/luasnip/plugin/luasnip.lua
  1.041500   3.112000   0.458000: require('telescope.make_entry')
  1.039800   1.541000   0.919000: require('hlslens.main')
  1.009400   1.593000   0.794000: require('dapui')
  1.005200   1.511000   0.909000: require('odenwald.highlights')
  1.004500   1.503000   0.834000: require('telescope.sorters')
  0.997100   1.248000   0.923000: /nix/store/ll5jxyyfd0k13727qg2ygj5kiwvyphx8-pde/pack/bundle/opt/tabular/after/plugin/TabularMaps.vim
  0.988500   1.857000   0.630000: require('overseer.vscode')
  0.975500   1.249000   0.833000: require('plenary.path')
  0.959400   1.085000   0.912000: require('markit')
  0.952900   1.050000   0.864000: require('plenary.filetype')
  0.949000   1.102000   0.843000: require('luasnip.util.parser')
  0.930600   1.341000   0.813000: require('hlslens.cmdline')
  0.920600   1.553000   0.770000: require('fzf-lua.utils')
  0.919300   1.078000   0.854000: require('ibl')
  0.917000   1.145000   0.745000: require('dap')
  0.904000   1.614000   0.647000: require('fzf-lua.libuv')
  0.903350   2.433000   0.046000: require('odenwald')
  0.888800   1.266000   0.772000: require('dropbar')
  0.884900   0.940000   0.851000: require('luasnip.loaders')
  0.883000   0.932000   0.855000: require('plenary.popup')
  0.882300   1.118000   0.741000: require('diffview.logger')
  0.876800   1.526000   0.418000: /nix/store/ll5jxyyfd0k13727qg2ygj5kiwvyphx8-pde/pack/bundle/opt/hop/plugin/hop.lua
  0.858500   0.968000   0.775000: require('vim.lsp.util')
  0.854900   0.949000   0.812000: require('neogit.lib.buffer')
  0.844200   0.932000   0.804000: require('crates.edit')
  0.828700   1.619000   0.635000: require('fzf-lua.core')
  0.822700   1.029000   0.700000: require('nvim-navbuddy.display')
  0.820700   0.948000   0.667000: require('dap.repl')
  0.804700   1.025000   0.662000: require('vim.lsp.log')
  0.792100   1.541000   0.497000: require('overseer.vscode.problem_matcher')
  0.790000   0.925000   0.564000: require('diffview.config')
  0.778300   0.885000   0.739000: require('blink.cmp.config')
  0.778300   1.649000   0.020000: /nix/store/ll5jxyyfd0k13727qg2ygj5kiwvyphx8-pde/pack/bundle/opt/dial/plugin/dial.lua
  0.777400   1.022000   0.709000: require('hydra')
  0.772200   1.233000   0.585000: require('vim._core.defaults')
  0.770300   0.871000   0.669000: require('nvim-autopairs')
  0.768700   0.865000   0.716000: require('mini.align')
  0.760900   0.985000   0.611000: require('vim.lsp.handlers')
  0.757700   1.232000   0.592000: require('dapui.windows')
  0.748700   0.842000   0.705000: require('crates.popup')
  0.747500   1.587000   0.046000: /nix/store/ll5jxyyfd0k13727qg2ygj5kiwvyphx8-pde/pack/bundle/opt/blink.cmp/plugin/blink-cmp.lua
  0.746900   0.826000   0.713000: require('nvim-web-devicons.icons-default')
  0.741700   0.872000   0.656000: require('luasnip.util.parser.ast_parser')
  0.736400   0.962000   0.626000: require('nui.popup')
  0.736250   3.065000   0.026000: /nix/store/ll5jxyyfd0k13727qg2ygj5kiwvyphx8-pde/pack/bundle/opt/diffview/plugin/diffview.lua
  0.735100   2.278000   0.369000: require('haskell-tools.config.internal')
  0.731500   1.058000   0.497000: require('neotest')
  0.725200   0.810000   0.678000: require('spectre.state_utils')
  0.703200   1.008000   0.565000: require('sqlite.defs')
  0.696900   0.790000   0.673000: loading packages
  0.680600   2.836000   0.116000: require('telescope._extensions.project.utils')
  0.680400   1.464000   0.350000: require('overseer.util')
  0.676600   0.873000   0.550000: require('vim.lsp.protocol')
  0.675900   1.241000   0.467000: require('deck.notify')
  0.675400   0.780000   0.510000: require('auto-session.lib')
  0.670900   0.694000   0.649000: require('plenary.async.async')
  0.667100   1.097000   0.518000: require('fzf-lua.win')
  0.665300   0.911000   0.562000: BufEnter autocommands
  0.657400   0.819000   0.503000: require('NeoComposer')
  0.645400   0.911000   0.438000: require('neotest.config')
  0.643900   0.676000   0.576000: require('neotest.client')
  0.643000   0.882000   0.490000: require('octo.gh')
  0.641650   3.266000   0.047000: /nix/store/ll5jxyyfd0k13727qg2ygj5kiwvyphx8-pde/pack/bundle/opt/gitsigns/plugin/gitsigns.lua
  0.627900   0.727000   0.589000: require('luasnip.nodes.util')
  0.621100   0.697000   0.582000: require('spectre.search')
  0.619700   0.717000   0.580000: require('beam')
  0.615200   0.669000   0.579000: require('crates.core')
  0.611300   0.806000   0.497000: require('luasnip.util.util')
  0.601300   0.675000   0.564000: require('spectre.search.base')
  0.599600   0.630000   0.576000: require('plenary.async.tests')
  0.598900   0.675000   0.542000: require('dropbar.bar')
  0.598500   0.794000   0.547000: require('neogit.lib.git.cli')
  0.586700   0.659000   0.544000: require('neogit.buffers.status.ui')
  0.580500   0.628000   0.562000: require('neogit.lib')
  0.578000   0.721000   0.495000: require('nui.layout')
  0.573700   0.625000   0.550000: /nix/store/5rnnqlp72zgq77y9507a4n6a7hyzwsgz-neovim-unwrapped-89623e5/share/nvim/runtime/filetype.lua
  0.571000   0.732000   0.507000: require('hlslens.render')
  0.570200   0.661000   0.540000: require('neogit.config')
  0.568200   0.614000   0.550000: require('neogit.lib.popup')
  0.568200   0.668000   0.533000: require('vim.treesitter.query')
  0.564000   1.185000   0.452000: require('octo.reviews.layout')
  0.554900   0.628000   0.531000: require('neotest.consumers.benchmark')
  0.537600   0.623000   0.496000: require('neotest.consumers.summary')
  0.531500   0.578000   0.479000: require('sqlite.parser')
  0.530300   0.576000   0.508000: nvim_exec2() called at /nix/store/5rnnqlp72zgq77y9507a4n6a7hyzwsgz-neovim-unwrapped-89623e5/share/nvim/runtime/filetype.lua:0
  0.529600   0.641000   0.481000: require('vim.treesitter')
  0.526700   0.599000   0.493000: require('fidget.progress.handle')
  0.517500   0.869000   0.405000: require('dapui.util')
  0.511600   0.643000   0.455000: require('oil')
  0.509500   0.613000   0.484000: require('bufferline')
  0.509200   1.076000   0.405000: require('vim.lsp.client')
  0.502500   3.065000   0.008000: /nix/store/ll5jxyyfd0k13727qg2ygj5kiwvyphx8-pde/pack/bundle/opt/gitlab/plugin/gitlab.lua
  0.502100   0.550000   0.455000: require('folding')
  0.500000   0.550000   0.477000: require('plenary.profile')
  0.496900   0.637000   0.386000: /nix/store/ll5jxyyfd0k13727qg2ygj5kiwvyphx8-pde/pack/bundle/opt/hydra/plugin/hydra.lua
  0.496700   0.549000   0.474000: require('lualine')
  0.494900   1.050000   0.401000: require('mini.keymap')
  0.482200   0.657000   0.433000: require('hydra.hint')
  0.478900   0.552000   0.443000: require('fidget.notification')
  0.476800   0.525000   0.453000: require('nio.lsp')
  0.476400   0.544000   0.445000: /nix/store/5rnnqlp72zgq77y9507a4n6a7hyzwsgz-neovim-unwrapped-89623e5/share/nvim/runtime/syntax/syntax.vim
  0.475000   0.503000   0.455000: require('plenary.async.util')
  0.472000   0.561000   0.424000: require('refactoring')
  0.467700   0.546000   0.410000: /nix/store/ll5jxyyfd0k13727qg2ygj5kiwvyphx8-pde/pack/bundle/opt/smart-splits/plugin/smart-splits.lua
  0.465300   0.819000   0.324000: require('fzf-lua.devicons')
