Extra options: []
Measured: 10 times

Total Average: 46.240600 msec
Total Max:     48.265000 msec
Total Min:     43.664000 msec

  AVERAGE       MAX       MIN
------------------------------
39.439300 41.200000 37.121000: /Users/ext_riley/.config/nvim/init.lua
37.835200 39.644000 35.772000: require('config.lazy')
 3.276100  3.550000  2.977000: /Users/ext_riley/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
 3.140900  3.630000  2.476000: /Users/ext_riley/.local/share/nvim/lazy/blink.cmp/plugin/blink-cmp.lua
 2.527400  2.790000  2.282000: require('neotest.consumers')
 2.479200  2.579000  2.301000: require('nvim-treesitter')
 2.094800  2.212000  1.965000: require('nvim-treesitter.install')
 1.924700  2.359000  1.533000: require('neotest')
 1.924400  2.138000  1.803000: /Users/ext_riley/.local/share/nvim/lazy/bamboo.nvim/colors/bamboo.lua
 1.825600  2.543000  1.559000: require('neotest-python')
 1.629300  2.354000  1.365000: require('neotest-python.base')
 1.525000  1.952000  1.242000: require('blink.cmp.sources.lib')
 1.355200  1.587000  1.215000: require('neotest.consumers.benchmark')
 1.330400  1.572000  0.862000: require('nio')
 1.289400  2.135000  1.111000: /Users/ext_riley/.local/share/nvim/lazy/vim-visual-multi/plugin/visual-multi.vim
 1.289300  1.483000  0.856000: require('vim.lsp')
 1.249600  1.374000  1.142000: expanding arguments
 1.224100  1.662000  1.000000: require('blink.cmp.config')
 1.221000  1.346000  1.133000: require('nvim-treesitter.parsers')
 1.200600  1.284000  1.152000: reading ShaDa
 1.128500  1.142000  1.104000: require('vim._init_packages')
 1.102900  1.821000  0.898000: require('neotest.lib.file')
 0.977700  1.037000  0.891000: require('vim._defaults')
 0.912600  1.056000  0.857000: require('bamboo.highlights')
 0.756100  0.774000  0.736000: require('vim._editor')
 0.647400  0.806000  0.576000: require('vim.treesitter')
 0.645900  1.761000  0.494000: /Users/ext_riley/homebrew/Cellar/neovim/0.11.6/share/nvim/runtime/plugin/matchit.vim
 0.581000  0.947000  0.453000: require('blink.cmp.config.completion')
 0.563600  0.602000  0.513000: require('lazy.view.commands')
 0.555700  0.841000  0.478000: require('lualine')
 0.532000  0.662000  0.445000: require('zen-mode')
 0.529500  1.137000  0.388000: require('plenary.filetype')
 0.529100  0.554000  0.507000: require('vim.loader')
 0.522800  0.584000  0.447000: require('nvim-treesitter.info')
 0.510000  0.702000  0.399000: require('toggleterm')
 0.491000  0.526000  0.435000: require('lazy.manage')
 0.483600  0.530000  0.448000: sourcing vimrc file(s)
 0.476300  0.703000  0.385000: require('vim.treesitter.languagetree')
 0.454850  0.945000  0.195000: require('which-key')
 0.443800  0.708000  0.240000: require('vim.lsp.protocol')
 0.440200  0.509000  0.385000: require('nvim-treesitter.configs')
 0.420800  0.461000  0.370000: require('lazy.core.loader')
 0.413600  0.441000  0.353000: require('lazy.manage.runner')
 0.375100  0.416000  0.356000: require('lazy')
 0.356700  0.415000  0.310000: require('nvim-treesitter.query')
 0.349500  0.571000  0.218000: require('neotest.config')
 0.343000  0.430000  0.304000: require('neotest.client')
